"","Region","IG","DS","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME"
"Region","","","","","","","","","","",""
"IG"," 0.41****","","","","","","","","","",""
"DS"," 0.78****"," 0.44****","","","","","","","","",""
"PME","-0.53****","-0.22****","-0.43****","","","","","","","",""
"PMWHO","-0.34****","-0.17****","-0.37****"," 0.36****","","","","","","",""
"COE"," 0.33****"," 0.37****"," 0.49****","-0.04    ","-0.31****","","","","","",""
"AME"," 0.05    ","-0.06*   "," 0.05    "," 0.19****","-0.06*   "," 0.01    ","","","","",""
"MEE"," 0.07*   ","-0.11*** "," 0.09**  "," 0.10**  ","-0.04    "," 0.17****"," 0.51****","","","",""
"ANOE"," 0.07*   ","-0.05    "," 0.08**  "," 0.14****","-0.10*** "," 0.07*   "," 0.91****"," 0.70****","","",""
"NOE"," 0.08*   ","-0.04    "," 0.10**  "," 0.14****","-0.10*** "," 0.09**  "," 0.86****"," 0.74****"," 0.99****","",""
"ME"," 0.08**  ","-0.08**  "," 0.11*** "," 0.15****","-0.08*   "," 0.13****"," 0.85****"," 0.87****"," 0.93****"," 0.93****",""
"NOEE"," 0.14****","-0.07    "," 0.13****"," 0.02    ","-0.16****"," 0.17****"," 0.65****"," 0.74****"," 0.83****"," 0.88****"," 0.83****"
